year,week,score
2022,1,78
2022,2,68
2022,3,52
2022,4,74
2022,5,74
2022,6,73
2022,7,72
2022,8,87
2022,9,64
2022,10,84
2022,11,80
2022,12,68
2022,13,68
2022,14,73
2022,15,68
2022,16,76
2022,17,100
2022,18,73
2022,19,74
2022,20,71
2022,21,72
2022,22,57
2022,23,75
2022,24,63
2022,25,70
2022,26,65
2022,27,66
2022,28,70
2022,29,62
2022,30,70
2022,31,71
2022,32,56
2022,33,72
2022,34,62
2022,35,75
2022,36,70
2022,37,68
2022,38,95
2022,39,71
2022,40,77
2022,41,60
2022,42,69
2022,43,83
2022,44,68
2022,45,61
2022,46,64
2022,47,62
2022,48,82
2022,49,97
2022,50,72
2022,51,83
2022,52,85
